Title
STRING
Tie Me Up! Tie Me Down!
High Heels
Dead Zone, The
Cuba
Days of Heaven
Octopussy
Target Eagle
American Angels: Baptism of Blood, The
Subway
Camille Claudel
Fanny and Alexander
Tragedy of a Ridiculous Man
A Man & a Woman
A Man & a Woman: Twenty Years Later
Un Hombre y una Mujer
Official Story, The
Lindbergh Kidnapping Case, The
Blackmail
Donovan's Reef
Tucker: The Man & His Dream
Scrooged
Raiders of the Lost Ark
Running Man, The
Predator 2
Colors
Zandalee
Miles from Home
Happy Birthday to Me
Final Notice
Quintet
Devil's Eye, The
Wild Strawberries
Seventh Seal, The
Germicide
Dreams
Naked Night, The
Through a Glass Darkly
Cries & Whispers
Barbarian & the Geisha, The
Casino Royale
Dr. No
Elephant Walk
Ten
Man Who Loved Women, The
Hawaii
Torn Curtain
Duet for One
Sound of Music, The
Gonzo Presents Muppet Weird Stuff
Tartuffe
A New Life
Magic
Tommy
Big Fix, The
Alan & Naomi
Fatal Attraction
Patriot Games
Woman Next Door, The
Hunting
Bataan
Siegfried, The Nibelungenlied
Henry, Portrait of a Serial Killer
Big Blue, The
Flight of the Intruder
Nobody's Fool
After Hours
Desperately Seeking Susan
A New Leaf
Killers of Kilimanjaro
Don Juan
Babette's Feast
Vincent, Francois, Paul & the Others
Thunderball
Lodger (Story of the London Fog)
Appointment with Death
Murder on the Orient Express
Blood Alley
Spy Who Loved Me, The
Storm
Bloodbath
Miami Cops
Island of Dr. Moreau, The
Eighty-Four Charing Cross Road
Elephant Man, The
Dr Alien
Creepshow
Sammy & Rosie Get Laid
Goalie's Anxiety at the Penalty Kick, The
Mademoiselle Striptease
Women, The
That Naughty Girl
Voulez-Vous Danser Avec Moi?
A Coeur Joie, (Head Over Heels)
Shalako
Contempt
Dear Brigitte
A Very Private Affair
Ravishing Idiot, The
Bride Is Much Too Beautiful, The
Doctor at Sea
Le Repos Du Guerrier, (Warrior's Rest)
And God Created Woman
Ms. Don Juan
Siesta
Rich & Strange
Lionheart
E. T. The Extra-Terrestrial
Cool World
Nadine
Batman
Blind Date
Mother Lode
Final Analysis
Never Say Never Again
Nine & a Half Weeks
Killjoy
No Mercy
Marrying Man, The
Misery
Crisis
Samson & Delilah
Act of Piracy
Split Decisions
Vampire's Kiss
Nightmare at Noon
Presumed Innocent
Reap the Wild Wind
Pocket Money
Mary White
Catch a Rising Star, Tenth Anniversary
Guilty by Suspicion
Secret Beyond the Door
Scarlet Street
Daffy Duck's Quackbusters
Rowlf's Rhapsodies with the Muppets
Gandhi
Wind & the Lion, The
Carnal Knowledge
Getting Straight
Scarlet Letter, The
Count of Old Town, The
Autumn Sonata
Gaslight
Indiscreet
Walpurgis Night
Joan of Arc
A Woman Called Golda
A Walk in the Spring Rain
Under Capricorn
Notorious
June Night
Goodbye Again
Anastasia
Bells of St. Mary's, The
Intermezzo
A Woman's Face
Swedenhielms
Only One Night
Dollar
Elena & Her Men
Europa Fifty-One
Voyage in Italy
Fear
Stromboli
Cactus Flower
Hideaways
Twenty Four Hours in a Woman's Life
Programmed to Kill
Conan the Barbarian
Raw Nerve
Think Dirty
King of Comedy
Best of the Big Laff Off, The
Amadeus
White Lightning
Unbearable Lightness of Being, The
Life & Times of Judge Roy Bean, The
Airport
Day for Night
Secrets of Women
Burnt Offerings
Easy Rider
Five Easy Pieces
Day of the Locust, The
Goldfinger
Exorcist II, The Heretic
White Lightning
Lady for a Night
Charly
High Plains Drifter
Honkytonk Man
Nightbreed
Under the Sun of Satan
Vagabond
Bill Cosby, Live at Harrah's
Monty Python & the Holy Grail
John Cleese on How to Irritate People
Matchmaker, The
For Your Eyes Only
Wings
Medicine Man
Good Fellas
Kiss of the Spider Woman
Rookie, THe
Sting, The
Torpedo Run
Instant Justice
Cyrano de Bergerac
Border Street
Firehouse
Morituri
From the Life of the Marionettes
Frantic
Coma
Dead Ringers
Golden Ninja Invasion
Exorcist, The
Alice Doesn't Live Here Anymore
Eyes of the Amaryllis, The
What Price Glory?
Inauguration of the Pleasure Dome
School Daze
End of Innocence, The
Anderson Tapes, The
Father Murphy, A Horse from Heaven
Skull
Quick & The Dead, The
Best Defense
Dreamscape
Black Rain
8 1/2
One Frightened Night
Year My Voice Broke, The
Is Paris Burning?
QB VII
Island of Dr. Moreau, The
Beyond the Limit
Secret Agent
Paramount Comedy Theater: Well-Developed
Big Bust Out, The
Fourth Protocol, The
Gremlins 2: The New Batch
Fast Times at Ridgemont High
Mannequin
Rabid
Party, The
Vampire Raiders, Ninja Queen
Bloopers from Star Trek
Destroyer
Party Girl
Twin Peaks
Moonstruck
Witches of Eastwick, The
Moonraker
Beat Street
Running Out of Luck
Never on Tuesday
Shampoo
Power
Darling
Ugly American, The
Ambassador Bill
Big Trail, The
Hombre
Coogan's Bluff
Penn & Teller Get Killed
Shy People
It's My Turn
Dangerous Liaisons
Reversal of Fortune
Meeting Venus
Tomorrow Is Forever
Like Father Like Son
Rope
Road to Hong Kong
Shirley Valentine
City of Joy
Appaloosa, The
Seven Minutes in Heaven
Hearts of Darkness, A Filmmaker's Apocalypse
Tonight for Sure
White Hunter, Black Heart
Sundays & Cybele
Puppet Master
Night Gallery
Pet Sematary
America's Music, Gospel
Slap Shot
O. C. & Stiggs
A Fish Called Wanda
A Lesson in Love
Brink of Life
Betty Blue
Hair
National Lampoon's Christmas Vacation
Dersu Uzala, (The Hunter)
Alice
Fifth Floor, The
Snow Kill
People, The
True Grit
Battle of Midway, The
Three Godfathers
Hush, Hush, Sweet Charlotte
A Stolen Life
Old Maid, The
All about Eve
Fly, The
Quick Change
Lair of the White Worm, The
Rainbow, The
Man Who Knew Too Much, The
Beauty & the Beast
Foreign Correspondent
Heiress, The
Boy Who Could Fly, The
Terrorists, The
Wheel of Fortune
Do the Right Thing
Court-Martial of Jackie Robinson, The
Elvira Madigan
Hurricane Smith
Fair Game
Rape of the Sabines, The
Risky Business
I Love All of You (Je Vous Aime)
Love Songs
Le Choix des Armes
Choice of Arms
March or Die
Last Metro, The
Jean de Florette
Fat Man & Little Boy
Wild at Heart
Family Business
Stand & Deliver
Looker
Fire & Rain
Best of Candid Camera, The
Seven Sinners
Judgment at Nuremberg
Minsky's Follies
Novice, The
Wings of Desire
Until the End of the World
Castaway
Alfred Hitchcock Presents, Sorcerer's Apprentice
Delicatessen
Great Train Robbery, The
Hanover Street
Hunchback
My Darling Clementine
Wagon Master
She Wore a Yellow Ribbon
Fantasy Man
Monster in the Closet
Double Edge
Network
Chinatown
Three Days of the Condor
Voyage of the Damned
Barfly
Wait Until Spring, Bandini
Life with Father
A Guy Named Joe
Stavisky
Time Bandits
Shining, The
Flame of Barbary Coast
Naked Truth, The
Brood, The
Molly Maguires, The
Beverly Hills Cop
Blind Man's Bluff
La Dolce Vita
After the Fox
Man with the Golden Gun, The
Marbella
Bobo, The
Big Bands, The
Killer Image.
Kandyland
Campus Man
Jubal
Purple Rose of Cairo, The
Broadway Danny Rose
Husbands & Wives
Hannah & Her Sisters
Hurricane
Between Two Women
Cannonball Run, The
Doughnuts & Society
Holocaust
Meridian
Diary of a Hitman
Gor
Surrender
Places in the Heart
Not Without My Daughter
Heroes
Absence of Malice
Norma Rae
Steel Magnolias
Burbs, The
Empire Strikes Back, The
Star Wars
Return of the Jedi
Hear My Song
Slightly Scarlet
Gunfight at the OK Corral
Range Feud, The
Bloodsucking Pharaohs in Pittsburgh
Roma
China Syndrome, The
Morning After, The
Klute
Electric Horseman, The
Cat Ballou
Coming Home
Rebecca
Jane Eyre
Stacey!
Naked Obsession
Stripped to Kill II, Live Girls
Rain Killer, The
Valley Girl
Silence of the Lambs, The
Stealing Home
Napoleon & Samantha
Five Corners
Blackboard Jungle, The
My Left Foot
Back to the Beach
Painted Veil, The
Inspiration
Anna Christie
Flesh & the Devil, The
Woman of Affairs
Anna Karenina
Camille
Mata Hari
Wild Orchids
Grand Hotel
Susan Lennox, Her Fall & Rise
Ninotchka
Queen Christina
Mysterious Lady, The
Joyless Street
Single Standard, The
As You Desire Me
Romance
A Child Is Waiting
Tootsie
Let It Ride
Julius Caesar
Nineteen Forty-One
Jaws
Hot Pursuit
Triumph of the Spirit
Brannigan
Buffet Froid
Salvador
Horse Soldiers, The
Long John Silver
Hustler, The
Star Chamber, The
Clara's Heart
Burglar
Comic Relief
Bloodbrothers
Rain Man
Masculine Feminine
Outer Limits, The
Mama's Dirty Girls
Last Ride of the Dalton Gang, The
Why Me?
Number Seventeen
Manhunter
Bonfire of the Vanities, The
Working Girl
Shining Through
Slumber Party Massacre III
Tokyo Pop
Terminator 2
Terminator, The
King Kong Lives!
Those Daring Young Men in Their Jaunty
At Play in the Fields of the Lord
Crazy People
Memoirs of an Invisible Man
Clan of the Cave Bear, The
Final Terror, The
Reckless
High Spirits
Roxanne
Blade Runner
Wall Street
Pope of Greenwich Village
After School
Flaming Frontiers
Libeled Lady
Inserts
Blue Iguana, The
Tender Mercies
Nights in White Satin
Videodrome
Intimate Stranger
Highlander
Bodycount
Tango & Cash
There's a Girl in My Soup
Swing Shift
Foul Play
Best Friends
Butterflies Are Free
Overboard
Girl from Petrovka, The
Housesitter
Wildcats
Protocol
Seems Like Old Times
Sugarland Express, The
Private Benjamin
Deceived
Arrowsmith
Say Goodbye Maggie Cole
Circus World
Affair in Trinidad
Lady from Shanghai
Lady in Question
Gilda
Loves of Carmen, The
Dick Tracy
Marnie
Hot Child in the City
Johnny Dangerously
Stark
Three Strange Loves
My Fair Lady
Unforgiven, The
Robin & Marian
Children's Hour, The
Rainmaker, The
Pat & Mike
Lion in Winter, THe
Sea of Grass, The
Guess Who's Coming to Dinner
Desk Set
Rooster Cogburn
On Golden Pond
Adam's Rib
Boom Town
Dragon Seed
Little Women
Philadelphia Story, The
Without Love
Woman of the Year
Juice
Hoosiers
Tin Men
Last Temptation of Christ, The
Paris Trout
Souvenir
A Man for All Seasons
Knights & Emeralds
Masque of the Red Death
Adventures of Smilin' Jack, The
Adventures in Dinosaur City
Allnighter, The
Caddyshack
Tom Sawyer
Rita, Sue & Bob Too
Hawk of Powder River
Tempest
Running Mates
Prettykill
Judge Priest
Harvey
If Looks Could Kill
Raising Arizona
Once Around
Loulou
World According to Garp, The
Virus
Northwest Passage
Gardens of Stone
Enemies, a Love Story
Addams Family, The
Freaks
Necessary Roughness
A Show of Force
Competition, The
Crossing Delancey
State of Things, The
Business As Usual
A Touch of Class
Women in Love.
Salome's Last Dance
Casino
Smiles of a Summer Night
New Year's Day
Mephisto
Easy Virtue
Swing It Sailor!
Strictly Business
Blame It on Rio
Straight to Hell
A View to a Kill
American Anthem
Bedtime Story
Courtship of Eddie's Father, The
Night Train to Katmandu, THe
Port of Call
Paper Moon
Yellowbeard
Adventures of Sherlock Holmes' Smarter
Flashback
World's Greatest Lover, The
Killer's Kiss
Deceivers, The
Breathless
Born on the Fourth of July
Awakenings
Annie Hall
Manhattan
Reds
Crimes of the Heart
Looking for Mr. Goodbar
Godfather, The
Godfather, Pt 2., The
I Will, I Will...For Now
Play It Again, Sam
Love & Death
Sleeper
Fellini Satyricon
Formula, The
Black Sunday
Bobby Deerfield
Last of the Red Hot Lovers
Mogambo
To Catch a Thief
Rear Window
Woman Who Came Back
Stanley & Livingstone
Bad Seed, The
Lethal Weapon 2
Blame It on the Bellboy
Drop Kick, The
Superman, The Movie
Superman IV: The Quest for Peace
Quackser Fortune Has a Cousin in the Bronx
Dead Calm
Days of Thunder
My Life As a Dog
Moon in the Gutter, The
Paris, Texas
Unfaithfully Yours
Bullseye!
Erik the Viking
Dragonard
Hard Choices
Rain People, The
A Year of the Quiet Sun
Desert Trail, The
Almost an Angel
Crocodile Dundee
American Friend, The
See You in the Morning
Arrogant, The
Dracula's Widow
Ninja Masters of Death
Mystery Train
Go Tell the Spartans
True Stories
Ugetsu Monogatari
Rebel Rousers
Plain Clothes
Whose Life Is It, Anyway?
Running on Empty
Funny about Love
A Chorus Line, The Movie
Stewardess School
Big Town, The
Rumble Fish
Outsiders, The
Priceless Beauty
Streets of Fire
Men Don't Leave
Everybody's All American
Cape Fear
Postman Always Rings Twice, The
Crashing Thru
Get Out Your Handkerchiefs
Boy Friend, THe
Hard To Kill
Psycho
Jet Pilot
Under Cover
A Streetcar Named Desire
Golden Child, The
Statue, The
Christopher Columbus
In Country
Wild Geese, The
Second Coming of Suzanne., The
Bronco Billy
Gauntlet, The
Ratboy
Lady Vanishes
Kitchen Toto, THe
Carlton-Browne of the F.O.
Racketeer
Mr. & Mrs. Smith
Alrededor de Medianoche
Losin' It
Into the Homeland
Boxing Babes
Shock 'em Dead
Heller in Pink Tights
Two Women
Gold of Naples, The
Yesterday, Today & Tomorrow
Legend of the Lost
Brass Target
Fall of the Roman Empire, The
El Cid
Desire under the Elms
Two Nights with Cleo
Black Orchid, The
Angela
A Special Day
Blood Feud
Sophia Loren, Her Own Story
Running Away
Man of La Mancha
Operation Crossbow
Courage
RAD
Secret Admirer
Cocaine Cowboys
Test Pilot
Ape Man, The
Mission, The
Curly Sue
Lolita
Sex, Lies, and Videotape
Green Card
Gator Bait II
Being There
Terms of Endearment
Woman Times Seven
Bliss of Mrs. Blossom, The
Postcards from the Edge
Two Mules for Sister Sara
Dragonfight
Back Door to Heaven
Ciao Italia, Madonna Live from Italy
Madonna, Truth or Dare
